Domain,Type,Sponsoring Organisation,Date
.temasek,generic,Temasek Holdings (Private) Limited,2025-02-06
.tennis,generic,"Cotton Bloom, LLC",2025-02-06
.tickets,generic,Accent Media Limited,2025-02-06
.tienda,generic,"Victor Manor, LLC",2025-02-06
.tips,generic,"Corn Willow, LLC",2025-02-06
.tires,generic,"Dog Edge, LLC",2025-02-06
.tirol,generic,punkt Tirol GmbH,2025-02-06
.today,generic,"Pearl Woods, LLC",2025-02-06
.tokyo,generic,"GMO Registry, Inc.",2025-02-06
.tools,generic,"Pioneer North, LLC",2025-02-06
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2025-02-06
.toshiba,generic,TOSHIBA Corporation,2025-02-06
.tours,generic,"Sugar Station, LLC",2025-02-06
.town,generic,"Koko Moon, LLC",2025-02-06
.toys,generic,"Pioneer Orchard, LLC",2025-02-06
.trade,generic,Elite Registry Limited,2025-02-06
