Domain,Type,Sponsoring Organisation,Date
.rocks,generic,"United TLD Holdco, LTD.",2025-02-04
.rodeo,generic,Top Level Domain Holdings Limited,2025-02-04
.rsvp,generic,Charleston Road Registry Inc.,2025-02-04
.ruhr,generic,regiodot GmbH & Co. KG,2025-02-04
.ryukyu,generic,BusinessRalliart inc.,2025-02-04
.saarland,generic,dotSaarland GmbH,2025-02-04
.sale,generic,"United TLD Holdco, Ltd",2025-02-04
.samsung,generic,"SAMSUNG SDS CO., LTD",2025-02-04
.sap,generic,SAP AG,2025-02-04
.sarl,generic,"Delta Orchard, LLC",2025-02-04
.saxo,generic,Saxo Bank A/S,2025-02-04
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2025-02-04
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2025-02-04
.schmidt,generic,SALM S.A.S.,2025-02-04
.scholarships,generic,"Scholarships.com, LLC",2025-02-04
.school,generic,"Little Galley, LLC",2025-02-04
.schule,generic,"Outer Moon, LLC",2025-02-04
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2025-02-04
.science,generic,dot Science Limited,2025-02-04
.scot,generic,Dot Scot Registry Limited,2025-02-04
.services,generic,"Fox Castle, LLC",2025-02-04
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2025-02-04
.sexy,generic,"Uniregistry, Corp.",2025-02-04
.shiksha,generic,Afilias Limited,2025-02-04
.shoes,generic,"Binky Galley, LLC",2025-02-04
.shriram,generic,Shriram Capital Ltd.,2025-02-04
.singles,generic,"Fern Madison, LLC",2025-02-04
.site,generic,DotSite Inc.,2025-02-04
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2025-02-04
.social,generic,United TLD Holdco Ltd.,2025-02-04
.software,generic,"United TLD Holdco, Ltd",2025-02-04
.sohu,generic,Sohu.com Limited,2025-02-04
.solar,generic,"Ruby Town, LLC",2025-02-04
.solutions,generic,"Silver Cover, LLC",2025-02-04
.soy,generic,Charleston Road Registry Inc.,2025-02-04
.space,generic,DotSpace Inc.,2025-02-04
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2025-02-04
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2025-02-04
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2025-02-04
.style,generic,"Binky Moon, LLC",2025-02-04
.sucks,generic,Vox Populi Registry Inc.,2025-02-04
.supplies,generic,"Atomic Fields, LLC",2025-02-04
.supply,generic,"Half Falls, LLC",2025-02-04
.support,generic,"Grand Orchard, LLC",2025-02-04
.surf,generic,Top Level Domain Holdings Limited,2025-02-04
.surgery,generic,"Tin Avenue, LLC",2025-02-04
.suzuki,generic,SUZUKI MOTOR CORPORATION,2025-02-04
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2025-02-04
.systems,generic,"Dash Cypress, LLC",2025-02-04
.taipei,generic,Taipei City Government,2025-02-04
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2025-02-04
.tattoo,generic,"Uniregistry, Corp.",2025-02-04
.tax,generic,"Storm Orchard, LLC",2025-02-04
.tech,generic,Dot Tech LLC,2025-02-04
.technology,generic,"Auburn Falls, LLC",2025-02-04
.temasek,generic,Temasek Holdings (Private) Limited,2025-02-04
.tennis,generic,"Cotton Bloom, LLC",2025-02-04
.tickets,generic,Accent Media Limited,2025-02-04
.tienda,generic,"Victor Manor, LLC",2025-02-04
.tips,generic,"Corn Willow, LLC",2025-02-04
.tires,generic,"Dog Edge, LLC",2025-02-04
.tirol,generic,punkt Tirol GmbH,2025-02-04
.today,generic,"Pearl Woods, LLC",2025-02-04
.tokyo,generic,"GMO Registry, Inc.",2025-02-04
.tools,generic,"Pioneer North, LLC",2025-02-04
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2025-02-04
.toshiba,generic,TOSHIBA Corporation,2025-02-04
.tours,generic,"Sugar Station, LLC",2025-02-04
.town,generic,"Koko Moon, LLC",2025-02-04
.toys,generic,"Pioneer Orchard, LLC",2025-02-04
.trade,generic,Elite Registry Limited,2025-02-04
